,pretty_formula,elasticity.G_VRH,elasticity.K_VRH
mp-696128,Li10GeP6S12,9,25 
mp-985583,Li3PS4,11,21
mp-950995,Li6PS5I,13,27 
mp-1211324,Li7PS6,29,39.04 
mp-942733,Li7La3Zr2O12,81,127.36 
mp-774721,Li5La3Nb2O12,77.45,132.09 
mp-554747,Li5La3Nb2O12,66.59,119.54 
mp-559776,Li5La3Ta2O12,71.72,127.43 
mp-25840,LiTi2P3O12,68.25 ,117.16 
mp-541272,LiGe2P3O12,60.26,118.01 
mp-10499,LiZr2P3O12,61.7,106.36 
mp-2251,Li3N,34 ,52 
mp-2341,Li3N,46 ,65 
mp-14712,Li7PN4,66.02 ,80.37 
mp-5853,LiSi2N3,121 ,159 
mp-3524,LiPN2,98 ,143 
mp-699284,Li2HN,50.06 ,68.75 
mp-1192133,LiBH4,40.24 ,50.22 
mp-644223,LiBH4,9 ,17 
mp-1190655,LiBH4,4.44 ,6.04 
mp-1222386,LiBH4,49.57 ,63.32 
mp-27653,LiAlH4,23.75 ,35.34 
mp-976291,LiAlH4,17 ,26
mp-23702,LiH2N,17 ,25
mp-1188477,LiH2N,52.62 ,75.16 
mp-38008,Li2CdCl4,14.01 ,36.88 
mp-38684,Li2MgCl4,17.73 ,37.27 
mp-23497,Li2ZnI4,9.11 ,26.11 
